id,kind,jurisdiction,identifier,title,status,introduced,url,fears,controls,agencies
os-669226ca-a7f7-4d50-837a-ebfcbbb3243e,bill,Virginia,SB 269,"Mental health service providers;  definitions, use of artificial intelligence system, civil penalty.",pending,2026-01-12,https://openstates.org/va/bills/2026/SB269/,,,
os-31058f0b-27f9-402a-a9c2-6dfd55a324dd,bill,Kentucky,HB 318,"AN ACT relating to property rights in name, voice, and likeness.",pending,2026-01-12,https://openstates.org/ky/bills/2026RS/HB318/,,,
os-192973ea-13b5-4db4-aedf-935fe52507ab,bill,Virginia,SB 269,"Mental health service providers;  definitions, use of artificial intelligence system, civil penalty.",pending,2026-01-12,https://openstates.org/va/bills/2027/SB269/,,,
os-d8897c10-6c67-4c7e-aedb-1edf5dba55ab,bill,Virginia,HB 323,"Data centers; Department of Energy shall lead efforts to accelerate use of waste heat, report.",pending,2026-01-11,https://openstates.org/va/bills/2026/HB323/,,new-agency-powers,
os-105edfd4-34e2-499e-ad75-828ba27b74be,bill,Florida,HB 1503,Computer Science Education and Certification,failed,2026-01-09,https://openstates.org/fl/bills/2026/HB1503/,,,
os-1f530c44-19ee-4345-bc25-a13870dd271d,bill,Florida,SB 484,Data Centers,pending,2026-01-09,https://openstates.org/fl/bills/2026/SB484/,power-bills,data-center-limits,Florida Department of Environmental Protection; Florida Office of Program Policy Analysis and Government Accountability
os-9c39fc45-8432-473d-b1a1-23654893481a,bill,Virginia,HB 310,"Artificial Intelligence Workforce Impact Act; established, report.",pending,2026-01-09,https://openstates.org/va/bills/2026/HB310/,job-loss,mandatory-reporting,Virginia Department of Human Resource Management
os-940e4bcf-8e97-412e-b0c1-28f6f1094b00,bill,Rhode Island,SB 2010,AN ACT RELATING TO INSURANCE -- THE TRANSPARENCY AND ACCOUNTABILITY IN ARTIFICIAL INTELLIGENCE USE BY HEALTH INSURERS TO MANAGE COVERAGE AND CLAIMS ACT,pending,2026-01-09,https://openstates.org/ri/bills/2026/SB2010/,,,
os-7ba28208-2881-4202-bc66-449e6a22cab9,bill,Pennsylvania,SB 1113,"An Act amending Titles 35 (Health and Safety) and 40 (Insurance) of the Pennsylvania Consolidated Statutes, providing for artificial intelligence in facilities, for artificial intelligence use by insurers and for artificial intelligence use by MA or CHIP managed care plans; imposing duties on the Department of Health, the Insurance Department and the Department of Human Services; and imposing penalties.",pending,2026-01-09,https://openstates.org/pa/bills/2025-2026/SB1113/,,new-agency-powers,Pennsylvania Department of Health; Pennsylvania Department of Human Services; Pennsylvania Insurance Department
os-69053fb5-7cb3-4069-9e43-41c73fef23be,bill,Florida,HB 1395,Artificial Intelligence,failed,2026-01-09,https://openstates.org/fl/bills/2026/HB1395/,deepfakes; kids-chatbots,id-age-checks; labeling-mandates,
os-df94f65a-e4ac-4fe5-ae4d-7a6989edb4c8,bill,Florida,SB 1694,Technology Education,pending,2026-01-09,https://openstates.org/fl/bills/2026/SB1694/,,,
us-119-hr-6996,bill,Congress,H.R. 6996,Full AI Stack Export Promotion Act,pending,2026-01-09,https://www.congress.gov/bill/119th-congress/house-bill/6996,china-race,export-controls,Department of Commerce; Department of State
os-d710300c-53ba-4921-a779-edc263b93730,bill,Mississippi,SB 2075,Images or audio altered or created by digitization; criminalize dissemination of in certain circumstances.,failed,2026-01-08,https://openstates.org/ms/bills/2026/SB2075/,deepfakes,,
os-bd1f452c-2a7a-4ae6-b7fd-8a4d9be1682e,bill,Mississippi,SB 2050,Artificial intelligence; require disclosure when used in political advertisements.,failed,2026-01-08,https://openstates.org/ms/bills/2026/SB2050/,,labeling-mandates,
os-5e59c927-8d09-440e-929c-8ccfc732ed94,bill,New York,S 8831,Relates to the use of automated employment decision-making tools and artificial intelligence systems by certain state and local entities; repealer,pending,2026-01-08,https://openstates.org/ny/bills/2025-2026/S8831/,,,
os-d3ce5d94-22a7-4ae0-a050-8dbbd014173b,bill,Florida,SB 1458,Artificial Intelligence in Higher Education,failed,2026-01-08,https://openstates.org/fl/bills/2026/SB1458/,,,
os-0593535f-741b-457e-917d-ddf41eb7b161,bill,New York,S 8828,Relates to transparency and safety requirements for developers of artificial intelligence models,pending,2026-01-08,https://openstates.org/ny/bills/2025-2026/S8828/,,mandatory-reporting; new-agency-powers,New York Office for AI Model Developer Oversight
os-7bc7956b-ab2a-494f-844b-b2bab805b5ee,bill,New York,S 8645,"Authorizes ORES to issue siting permits for battery energy storage systems for use by data centers, and requires data centers to submit carbon reduction plans",pending,2026-01-07,https://openstates.org/ny/bills/2025-2026/S8645/,,data-center-limits,New York ORES (Office of Renewable Energy Siting)
os-8d4a5668-61f3-492c-b2a8-5dca08c5fcde,bill,New York,A 9487,Relates to the use of automated employment decision-making tools and artificial intelligence systems by certain state and local entities; repealer,pending,2026-01-07,https://openstates.org/ny/bills/2025-2026/A9487/,bias,,
os-943133b6-56f3-4461-afe6-d61f7373c9d9,bill,Florida,SB 1344,Companion Artificial Intelligence Chatbots,failed,2026-01-07,https://openstates.org/fl/bills/2026/SB1344/,kids-chatbots,id-age-checks,
