rank,name,type,lobbying on filings mentioning a tracked fear,fears mentioned
372,Metlife Group,Lobbying client,370000,ai-cyberattacks
373,American Psychological Association Services Inc.(fka American Psychological Assn,Lobbying client,340000,bias; job-loss; loss-of-control
374,National Treasury Employees Union,Lobbying client,340000,ai-cyberattacks; job-loss
375,American Public Power Association,Lobbying client,310000,ai-cyberattacks; job-loss; power-bills
376,Supermicro,Lobbying client,300000,china-race; power-bills
377,Woolpert,Lobbying client,290000,power-bills
378,Arizona State University,Lobbying client,280000,job-loss
379,Bank of America,Lobbying client,280000,ai-cyberattacks
380,Laboratory Corporation of America Holdings,Lobbying client,270000,job-loss
381,Defenders of Wildlife,Lobbying client,270000,china-race; job-loss; power-bills
382,American Nurses Association,Lobbying client,270000,job-loss
383,Air Line Pilots Association,Lobbying client,266000,job-loss
384,Berkshire Hathaway Energy,Lobbying client,260000,power-bills
385,Arkema Inc. and Its Affiliates (fka Arkema Inc.),Lobbying client,260000,power-bills
386,American Dental Association,Lobbying client,243780,ai-cyberattacks; loss-of-control
387,United Automobile Aerospace & Agricultural Implement Workers,Lobbying client,230000,job-loss
388,League of Conservation Voters,Lobbying client,230000,kids-chatbots; power-bills
389,QVC Group,Lobbying client,220000,ai-cyberattacks; kids-chatbots
390,Transamerica Companies,Lobbying client,200000,ai-cyberattacks; bias; job-loss
391,Oceana,Lobbying client,200000,job-loss
392,Unidosus (fka National Council of La Raza),Lobbying client,191715,bias
393,Hawaiian Airlines,Lobbying client,160000,ai-cyberattacks; job-loss
394,The University of Florida Board of Trustees,Lobbying client,160000,job-loss
395,American College of Obstetricians and Gynecologists,Lobbying client,150000,bioweapons; job-loss; kids-chatbots
396,Fidelity National Information Systems Inc and Subsidiaries,Lobbying client,150000,ai-cyberattacks
397,International Union of Operating Engineers,Lobbying client,140000,power-bills
398,Wiz,Lobbying client,140000,ai-cyberattacks
399,Hitachi Energy USA,Lobbying client,130000,power-bills
400,Santa Clara Valley Water District,Lobbying client,130000,power-bills
401,Association of California Water Agencies,Lobbying client,125000,power-bills
402,Association for Diagnostics & Laboratory Medicine (formerly Aacc),Lobbying client,120000,job-loss
403,Earthjustice Action,Lobbying client,111651,china-race; power-bills
404,Int'l Association of Bridge Structural Ornamental & Reinforcing Iron Workers,Lobbying client,100000,power-bills
405,American Securities Association,Lobbying client,90000,china-race
406,Southern Environmental Law Center,Lobbying client,90000,power-bills
407,Center for Responsible Lending a Supporting Corp of CTR for Community Self-help,Lobbying client,90000,bias
408,Armada Systems,Lobbying client,80000,china-race
409,Vistra Corporate Services Company,Lobbying client,80000,power-bills
410,Cloud Software Group,Lobbying client,80000,ai-cyberattacks
411,Mcgraw-hill Education,Lobbying client,80000,job-loss
412,Nscale Limited,Lobbying client,80000,power-bills
413,Ywca USA,Lobbying client,79538,job-loss; kids-chatbots
414,National Women's Law Center Action Fund,Lobbying client,75000,bias; deepfakes; kids-chatbots
415,Georgia Institute of Technology,Lobbying client,70000,job-loss
416,Urac,Lobbying client,70000,job-loss
417,"Siemens Healthineers (fka Varian Medical Systems, Inc.)",Lobbying client,70000,ai-cyberattacks
418,Kyndryl,Lobbying client,60000,ai-cyberattacks
419,Ameresco,Lobbying client,60000,power-bills
420,NetChoice,Trade group,60000,kids-chatbots
421,Medtronic,Lobbying client,60000,ai-cyberattacks
422,AI Integrators Council,Lobbying client,60000,kids-chatbots
423,Inseparable Action,Lobbying client,60000,kids-chatbots
424,Relx,Lobbying client,60000,kids-chatbots
425,Netflix,Lobbying client,50000,kids-chatbots
426,Ochsner Clinic Foundation Dba Ochsner Health,Lobbying client,50000,job-loss
427,University of Oklahoma,Lobbying client,50000,job-loss
428,Association of American Publishers,Lobbying client,50000,job-loss
429,Iproov,Lobbying client,50000,deepfakes
430,Advanced Medical Technology Association (advamed),Lobbying client,50000,ai-cyberattacks; china-race
431,Energy Freedom Fund,Lobbying client,50000,power-bills
432,Calpine,Lobbying client,50000,power-bills
433,"AI Policy Network Inc (fka Lionheart Ventures, Llc)",Lobbying client,40000,china-race
434,Aecom,Lobbying client,40000,power-bills
